Date,State,TempAVG,TempMAX,TempMIN,Rain,Snow,Hail,Thunder,Tornado
1975-01-31,AK,3.2714532706851953,10.173883508249236,-3.819460220668398,323,1033,8,5,0
1975-01-31,AL,52.33323348694317,63.07046850998462,43.36886505967151,146,9,0,24,0
1975-01-31,AR,44.25349462365591,55.32903225806451,35.013709677419364,141,17,1,32,0
1975-01-31,AZ,43.04572130204587,57.3229880032516,30.489249720523958,47,42,0,1,0
1975-01-31,CA,47.8220632184832,59.580878256702434,37.971123418695065,392,57,3,8,0
1975-01-31,CO,26.22312485550914,39.47159394602591,15.159045949375543,18,203,0,3,0
1975-01-31,CT,34.248572487949566,42.84916573971079,26.62020763811643,38,24,0,0,0
1975-01-31,DE,38.00645161290323,47.40161290322581,31.20645161290323,30,15,0,0,0
1975-01-31,FL,63.65920740716714,73.00484538588279,55.37834453802965,291,0,1,43,0
1975-01-31,GA,52.04213903743316,63.64562532344316,42.17545627048473,204,2,1,23,0
1975-01-31,HI,69.76541248467954,75.57213665656502,64.42108607131853,127,0,0,5,0
1975-01-31,IA,21.117697441601784,30.056295884315908,12.60695216907675,60,171,0,5,0
1975-01-31,ID,24.093641627190014,32.324031130160165,16.707753214527408,39,129,1,1,0
1975-01-31,IL,32.790463592041434,40.24276820703963,25.637368649889137,173,194,2,38,0
1975-01-31,IN,32.07703853046595,39.27380525686978,25.50162783751494,85,99,1,17,0
1975-01-31,KS,32.19274509803922,44.682125237191656,22.17977862112587,81,104,0,6,0
1975-01-31,KY,38.885451612903225,48.037892473118276,30.983301075268816,138,71,1,24,0
1975-01-31,LA,55.034211845502156,65.24045416948641,46.276347845702695,147,5,1,35,0
1975-01-31,MA,32.64309677419355,40.13054838709677,24.73750537634408,126,83,1,2,0
1975-01-31,MD,39.50707096774194,48.52585806451613,32.23408602150538,68,25,0,1,0
1975-01-31,ME,19.008180694598938,27.588382564989907,11.243047830923249,52,156,0,1,0
1975-01-31,MI,24.605734052496608,31.193081397209433,17.7150055203533,229,657,1,15,0
1975-01-31,MN,14.027974951592308,23.211642016506683,4.7059189222593005,36,291,0,3,0
1975-01-31,MO,33.78437152391546,44.23406562847609,25.704623192436046,174,96,0,19,0
1975-01-31,MS,50.426745954165305,60.021876832844576,41.948671662865216,128,7,0,21,0
1975-01-31,MT,22.03587634408602,31.636379416282644,13.073127496159756,65,291,0,2,0
1975-01-31,NC,47.23865654648957,58.56563187855787,37.85525996204934,221,15,1,12,0
1975-01-31,ND,12.392187728227771,22.60605542029347,3.489106114912566,32,225,1,0,0
1975-01-31,NE,27.34177419354839,37.52,16.585960729312767,58,187,1,2,0
1975-01-31,NH,22.283145161290324,31.100053763440854,14.201250000000003,18,48,0,1,0
1975-01-31,NJ,36.83179723502304,45.712442396313364,29.54516129032259,101,52,0,1,0
1975-01-31,NM,34.89091834025526,47.72932474750847,24.114666807661195,51,82,0,2,0
1975-01-31,NV,28.423566308243732,43.02481460882462,16.598984468339307,26,61,0,1,0
1975-01-31,NY,28.98700488465444,37.23002369782851,21.585931227934424,220,357,0,2,0
1975-01-31,OH,32.517398572332155,39.80402277039849,25.87332836360351,173,196,1,12,0
1975-01-31,OK,41.78551843317972,54.000956221198145,32.67039170506913,76,17,0,13,0
1975-01-31,OR,36.48570489844683,43.48765830346474,30.395061728395053,276,149,2,3,0
1975-01-31,PA,31.639388508743345,39.361192570869996,25.21534158792223,242,330,0,12,0
1975-01-31,PR,76.4,81.2,72.08387096774194,18,0,0,0,0
1975-01-31,RI,34.03548387096774,45.103225806451604,24.870967741935484,15,9,0,1,0
1975-01-31,SC,51.04086021505376,61.61397849462366,41.80199295513534,158,2,0,6,0
1975-01-31,SD,19.90727598566308,30.228611420096403,10.24082900753924,39,188,0,0,0
1975-01-31,TN,42.52709677419355,53.32129032258065,33.561451612903234,135,42,0,22,0
1975-01-31,TX,50.8746597548256,63.83326252731821,40.67472218961529,466,61,0,40,0
1975-01-31,UT,24.07019743381224,34.83054556589661,13.978776021574882,24,110,2,6,0
1975-01-31,VA,41.759259144929786,51.98940680146113,32.85940062766889,246,75,0,3,0
1975-01-31,VI,77.69032258064514,82.1709677419355,72.98064516129033,10,0,0,0,0
1975-01-31,VT,24.418384759233287,32.56165030388031,16.989941561477327,18,67,0,0,0
1975-01-31,WA,34.138387096774196,39.54231360963842,29.100955607240365,369,292,1,3,0
1975-01-31,WI,20.954704880422693,28.36696781145718,13.207804852614016,61,243,0,2,0
1975-01-31,WV,35.85369299221357,45.04895206313894,27.465599872874627,124,116,0,8,0
1975-01-31,WY,21.439108261537434,32.10736205169306,11.86280551659654,14,184,1,0,0
1975-02-28,AK,7.876642862544746,15.124555227412657,0.38851458318469906,246,952,8,7,0
1975-02-28,AL,53.76855531686359,65.24095506623702,44.92981954887218,148,6,0,44,0
1975-02-28,AR,42.8125,54.4672729276896,34.42053571428571,129,36,1,38,0
1975-02-28,AZ,45.869173669467784,59.815542328042326,32.62807422969188,40,39,0,6,0
1975-02-28,CA,49.54764220990694,59.18871625783817,41.3299877908893,656,73,3,26,0
1975-02-28,CO,29.538972122885163,43.018994478951,18.74224372085242,40,222,0,4,0
1975-02-28,CT,32.28809523809523,39.964285714285715,24.05595238095238,26,25,0,0,0
1975-02-28,DE,37.15714285714286,44.55714285714286,30.644642857142863,24,12,0,1,0
1975-02-28,FL,65.65070717614259,75.17427966270293,57.11975199208226,322,0,2,70,0
1975-02-28,GA,53.77346306943829,66.04793233082707,43.84140866873066,225,2,0,44,0
1975-02-28,HI,69.64886675824177,75.36536744505493,64.08965773809521,95,0,0,7,0
1975-02-28,IA,21.726298701298703,29.330519480519477,14.409415584415585,25,140,0,2,0
1975-02-28,ID,29.663677685950407,37.05952184179458,22.783729065547252,76,126,0,0,0
1975-02-28,IL,32.43968071251885,38.73106760035099,26.01942972419608,156,197,0,13,0
1975-02-28,IN,30.895918367346933,38.59744897959183,24.522959183673468,81,91,0,10,0
1975-02-28,KS,28.961204481792716,39.94574385309679,20.484251478369124,115,190,1,4,0
1975-02-28,KY,38.79559523809524,48.86321428571429,31.67638888888889,123,60,0,28,0
1975-02-28,LA,55.41414112203587,67.21525555341347,45.74666473877001,134,6,1,54,0
1975-02-28,MA,30.583137973137973,37.41413410663411,21.936635124135123,71,76,0,0,0
1975-02-28,MD,39.88922077922078,47.76805194805194,32.694155844155844,57,25,0,2,0
1975-02-28,ME,18.991784244562027,27.971119929453263,9.6049088771311,37,124,0,1,0
1975-02-28,MI,24.34868551587302,30.782180912350327,17.593908103592316,127,567,1,6,0
1975-02-28,MN,14.015000000000002,23.387380952380955,4.178571428571429,26,220,0,2,0
1975-02-28,MO,31.92946428571428,40.78415178571428,25.285267857142863,169,168,0,14,1
1975-02-28,MS,52.72108766233766,63.29321103896105,43.62112337662337,122,3,0,45,0
1975-02-28,MT,16.80241402116402,27.807630240130244,7.156316137566137,31,262,0,1,0
1975-02-28,NC,48.194090244793564,59.003359683794464,39.26739462583452,202,24,0,18,0
1975-02-28,ND,10.347769621682666,19.749520045172222,1.979079616036138,18,179,0,0,0
1975-02-28,NE,24.035238095238093,34.985277777777775,13.95910052910053,53,215,0,0,0
1975-02-28,NH,19.979861111111113,28.08521825396825,11.74672619047619,8,38,0,0,0
1975-02-28,NJ,35.510714285714286,43.36020408163266,28.177040816326528,79,41,0,5,0
1975-02-28,NM,37.911577868115266,50.92619477987898,27.55358114184984,56,91,0,3,0
1975-02-28,NV,34.72589285714286,46.624702380952385,24.23174603174603,56,84,1,2,0
1975-02-28,NY,27.819211525189786,35.10590637221072,20.84755003450656,165,314,0,2,0
1975-02-28,OH,31.772448979591832,39.480357142857144,25.712500000000002,147,198,0,17,0
1975-02-28,OK,37.68420634920635,48.04957671957673,30.296984126984132,103,66,1,17,0
