Date,State,Coal_Consumption,Petrol_Consumption
3/31/1961,MT,25.57916667,1687.579167
3/31/1961,NC,771.9083333,6572.766667
3/31/1961,ND,174.025,1503.679167
3/31/1961,NE,69.66666667,2168.354167
3/31/1961,NH,31.86666667,1284.9625
3/31/1961,NJ,586.4125,13952.0375
3/31/1961,NM,12.82083333,1701.766667
3/31/1961,NV,12.09583333,917.95
3/31/1961,NY,2080.166667,25894.47083
3/31/1961,OH,4039.433333,11762.05
3/31/1961,OK,5.55,4023.395833
3/31/1961,OR,32.77916667,3204.9
3/31/1961,PA,4839.766667,16250.3375
3/31/1961,RI,46.58333333,2034.529167
3/31/1961,SC,323.7291667,3332.166667
3/31/1961,SD,30.40833333,1352.7
3/31/1961,TN,1243.220833,3598.4
3/31/1961,TX,73.04583333,24848.57917
3/31/1961,US,32754.7625,301822.4167
3/31/1961,UT,269.0541667,1858.879167
3/31/1961,VA,1036.504167,6406.275
3/31/1961,VT,12.12083333,738.9291667
3/31/1961,WA,51.85833333,5336.741667
3/31/1961,WI,1069.104167,5939.3
3/31/1961,WV,1245.329167,1956.304167
3/31/1961,WY,96.5625,1175.541667
4/30/1961,AK,45.52083333,747.5833333
4/30/1961,AL,1277.729167,3594.708333
4/30/1961,AR,0.979166667,2508.729167
4/30/1961,AZ,0.833333333,1945.041667
4/30/1961,CA,165.9583333,27735.22917
4/30/1961,CO,265.8125,2657.604167
4/30/1961,CT,334.4166667,5308.333333
4/30/1961,DC,82.95833333,843.2083333
4/30/1961,DE,67.22916667,1740.916667
4/30/1961,FL,116.4375,9353.520833
4/30/1961,GA,299.2291667,4612.770833
4/30/1961,HI,0,1605.541667
4/30/1961,IA,405.0416667,4342.520833
4/30/1961,ID,59.25,1168.104167
4/30/1961,IL,3277.708333,16611.625
4/30/1961,IN,2730.5625,8900.520833
4/30/1961,KS,50.125,3932.625
4/30/1961,KY,1002.833333,3144.0625
4/30/1961,LA,0,7463
4/30/1961,MA,385.4791667,11773.04167
4/30/1961,MD,719.2291667,5119.541667
4/30/1961,ME,64.10416667,2402.5625
4/30/1961,MI,2125.833333,10781.83333
4/30/1961,MN,500.8125,5712.875
4/30/1961,MO,595.6875,6239.583333
4/30/1961,MS,2.25,2286.8125
4/30/1961,MT,26.27083333,1702.104167
4/30/1961,NC,775.9583333,6606.166667
4/30/1961,ND,173.875,1496.770833
4/30/1961,NE,69,2172.0625
4/30/1961,NH,34,1292.1875
4/30/1961,NJ,594.2708333,13971.14583
4/30/1961,NM,12.5625,1703
4/30/1961,NV,12.02083333,929.25
4/30/1961,NY,2061.5,26063.64583
4/30/1961,OH,4003.833333,11727.25
4/30/1961,OK,5.416666667,4029.520833
4/30/1961,OR,32.9375,3212.5
4/30/1961,PA,4806.833333,16224.64583
4/30/1961,RI,46.08333333,2012.020833
4/30/1961,SC,325.8541667,3336.333333
4/30/1961,SD,30.29166667,1354.166667
4/30/1961,TN,1236.5625,3610.333333
4/30/1961,TX,70.60416667,24884.77083
4/30/1961,US,32690.35417,302284.5833
4/30/1961,UT,266.2291667,1858.4375
4/30/1961,VA,1040.3125,6389.958333
4/30/1961,VT,12.22916667,744.5208333
4/30/1961,WA,52.04166667,5346.791667
4/30/1961,WI,1070.3125,5937.5
4/30/1961,WV,1256.6875,1964.145833
4/30/1961,WY,98.6875,1183.291667
5/31/1961,AK,47.4125,756.1833333
5/31/1961,AL,1275.004167,3590.691667
5/31/1961,AR,0.954166667,2526.8375
5/31/1961,AZ,0.833333333,1953.025
5/31/1961,CA,173.175,27816.30417
5/31/1961,CO,268.5875,2675.929167
5/31/1961,CT,336.2166667,5313.466667
5/31/1961,DC,82.34166667,838.1583333
5/31/1961,DE,67.40416667,1733.05
5/31/1961,FL,119.6958333,9384.7125
5/31/1961,GA,299.7041667,4608.695833
5/31/1961,HI,0,1632.458333
5/31/1961,IA,400.625,4330.445833
5/31/1961,ID,59.38333333,1174.029167
5/31/1961,IL,3273.925,16613.075
5/31/1961,IN,2732.504167,8889.379167
5/31/1961,KS,49.30833333,3934.775
5/31/1961,KY,1003.1,3142.970833
5/31/1961,LA,0,7471.633333
5/31/1961,MA,386.2208333,11801.425
5/31/1961,MD,720.3708333,5114.991667
5/31/1961,ME,63.82916667,2425.004167
5/31/1961,MI,2121.166667,10786.96667
5/31/1961,MN,501.1875,5703.091667
5/31/1961,MO,591.6791667,6239.75
5/31/1961,MS,2.216666667,2287.0875
5/31/1961,MT,26.9625,1716.629167
5/31/1961,NC,780.0083333,6639.566667
5/31/1961,ND,173.725,1489.8625
5/31/1961,NE,68.33333333,2175.770833
5/31/1961,NH,36.13333333,1299.4125
5/31/1961,NJ,602.1291667,13990.25417
5/31/1961,NM,12.30416667,1704.233333
5/31/1961,NV,11.94583333,940.55
5/31/1961,NY,2042.833333,26232.82083
5/31/1961,OH,3968.233333,11692.45
5/31/1961,OK,5.283333333,4035.645833
5/31/1961,OR,33.09583333,3220.1
5/31/1961,PA,4773.9,16198.95417
5/31/1961,RI,45.58333333,1989.5125
5/31/1961,SC,327.9791667,3340.5
5/31/1961,SD,30.175,1355.633333
5/31/1961,TN,1229.904167,3622.266667
5/31/1961,TX,68.1625,24920.9625
5/31/1961,US,32625.94583,302746.75
5/31/1961,UT,263.4041667,1857.995833
5/31/1961,VA,1044.120833,6373.641667
5/31/1961,VT,12.3375,750.1125
5/31/1961,WA,52.225,5356.841667
5/31/1961,WI,1071.520833,5935.7
5/31/1961,WV,1268.045833,1971.9875
5/31/1961,WY,100.8125,1191.041667
6/30/1961,AK,49.30416667,764.7833333
6/30/1961,AL,1272.279167,3586.675
6/30/1961,AR,0.929166667,2544.945833
6/30/1961,AZ,0.833333333,1961.008333
6/30/1961,CA,180.3916667,27897.37917
6/30/1961,CO,271.3625,2694.254167
6/30/1961,CT,338.0166667,5318.6
6/30/1961,DC,81.725,833.1083333
6/30/1961,DE,67.57916667,1725.183333
6/30/1961,FL,122.9541667,9415.904167
6/30/1961,GA,300.1791667,4604.620833
6/30/1961,HI,0,1659.375
6/30/1961,IA,396.2083333,4318.370833
6/30/1961,ID,59.51666667,1179.954167
6/30/1961,IL,3270.141667,16614.525
6/30/1961,IN,2734.445833,8878.2375
6/30/1961,KS,48.49166667,3936.925
6/30/1961,KY,1003.366667,3141.879167
6/30/1961,LA,0,7480.266667
6/30/1961,MA,386.9625,11829.80833
6/30/1961,MD,721.5125,5110.441667
6/30/1961,ME,63.55416667,2447.445833
6/30/1961,MI,2116.5,10792.1
6/30/1961,MN,501.5625,5693.308333
6/30/1961,MO,587.6708333,6239.916667
6/30/1961,MS,2.183333333,2287.3625
6/30/1961,MT,27.65416667,1731.154167
6/30/1961,NC,784.0583333,6672.966667
6/30/1961,ND,173.575,1482.954167
6/30/1961,NE,67.66666667,2179.479167
6/30/1961,NH,38.26666667,1306.6375
6/30/1961,NJ,609.9875,14009.3625
6/30/1961,NM,12.04583333,1705.466667
6/30/1961,NV,11.87083333,951.85
6/30/1961,NY,2024.166667,26401.99583
6/30/1961,OH,3932.633333,11657.65
6/30/1961,OK,5.15,4041.770833
6/30/1961,OR,33.25416667,3227.7
6/30/1961,PA,4740.966667,16173.2625
6/30/1961,RI,45.08333333,1967.004167
6/30/1961,SC,330.1041667,3344.666667
6/30/1961,SD,30.05833333,1357.1
6/30/1961,TN,1223.245833,3634.2
6/30/1961,TX,65.72083333,24957.15417
6/30/1961,US,32561.5375,303208.9167
6/30/1961,UT,260.5791667,1857.554167
6/30/1961,VA,1047.929167,6357.325
6/30/1961,VT,12.44583333,755.7041667
6/30/1961,WA,52.40833333,5366.891667
6/30/1961,WI,1072.729167,5933.9
6/30/1961,WV,1279.404167,1979.829167
6/30/1961,WY,102.9375,1198.791667
7/31/1961,AK,51.19583333,773.3833333
7/31/1961,AL,1269.554167,3582.658333
7/31/1961,AR,0.904166667,2563.054167
7/31/1961,AZ,0.833333333,1968.991667
7/31/1961,CA,187.6083333,27978.45417
7/31/1961,CO,274.1375,2712.579167
7/31/1961,CT,339.8166667,5323.733333
7/31/1961,DC,81.10833333,828.0583333
7/31/1961,DE,67.75416667,1717.316667
7/31/1961,FL,126.2125,9447.095833
7/31/1961,GA,300.6541667,4600.545833
7/31/1961,HI,0,1686.291667
7/31/1961,IA,391.7916667,4306.295833
7/31/1961,ID,59.65,1185.879167
7/31/1961,IL,3266.358333,16615.975
7/31/1961,IN,2736.3875,8867.095833
7/31/1961,KS,47.675,3939.075
7/31/1961,KY,1003.633333,3140.7875
7/31/1961,LA,0,7488.9
7/31/1961,MA,387.7041667,11858.19167
7/31/1961,MD,722.6541667,5105.891667
7/31/1961,ME,63.27916667,2469.8875
7/31/1961,MI,2111.833333,10797.23333
7/31/1961,MN,501.9375,5683.525
7/31/1961,MO,583.6625,6240.083333
7/31/1961,MS,2.15,2287.6375
7/31/1961,MT,28.34583333,1745.679167
7/31/1961,NC,788.1083333,6706.366667
7/31/1961,ND,173.425,1476.045833
7/31/1961,NE,67,2183.1875
7/31/1961,NH,40.4,1313.8625
7/31/1961,NJ,617.8458333,14028.47083
7/31/1961,NM,11.7875,1706.7
7/31/1961,NV,11.79583333,963.15
7/31/1961,NY,2005.5,26571.17083
7/31/1961,OH,3897.033333,11622.85
7/31/1961,OK,5.016666667,4047.895833
7/31/1961,OR,33.4125,3235.3
7/31/1961,PA,4708.033333,16147.57083
7/31/1961,RI,44.58333333,1944.495833
7/31/1961,SC,332.2291667,3348.833333
7/31/1961,SD,29.94166667,1358.566667
7/31/1961,TN,1216.5875,3646.133333
7/31/1961,TX,63.27916667,24993.34583
7/31/1961,US,32497.12917,303671.0833
7/31/1961,UT,257.7541667,1857.1125
7/31/1961,VA,1051.7375,6341.008333
7/31/1961,VT,12.55416667,761.2958333
7/31/1961,WA,52.59166667,5376.941667
7/31/1961,WI,1073.9375,5932.1
7/31/1961,WV,1290.7625,1987.670833
7/31/1961,WY,105.0625,1206.541667
8/31/1961,AK,53.0875,781.9833333
8/31/1961,AL,1266.829167,3578.641667
8/31/1961,AR,0.879166667,2581.1625
8/31/1961,AZ,0.833333333,1976.975
8/31/1961,CA,194.825,28059.52917
8/31/1961,CO,276.9125,2730.904167
8/31/1961,CT,341.6166667,5328.866667
8/31/1961,DC,80.49166667,823.0083333
8/31/1961,DE,67.92916667,1709.45
8/31/1961,FL,129.4708333,9478.2875
8/31/1961,GA,301.1291667,4596.470833
8/31/1961,HI,0,1713.208333
8/31/1961,IA,387.375,4294.220833
8/31/1961,ID,59.78333333,1191.804167
